video_id,segment,start,end,opensmile,covarep,facet,embeddings,phonemes,words,openface
,,,,s,s,v,s,s,s,s
_dI--eQ6qVU,1,27.87913832,32.9276644,../datasets/MOSI/processed/Audio/OpenSmile/Segmented/emobase2010/_dI--eQ6qVU_1.arff,../datasets/MOSI/processed/Audio/COVAREP/Segmented/_dI--eQ6qVU_1.mat,../datasets/MOSI/processed/Video/FACET/Full/_dI--eQ6qVU.FACET_out.csv,../datasets/MOSI/processed/Transcript/embeddings/_dI--eQ6qVU_1.csv,../datasets/MOSI/processed/Transcript/phonemes/_dI--eQ6qVU_1.csv,../datasets/MOSI/processed/Transcript/words/_dI--eQ6qVU_1.csv,../datasets/MOSI/processed/Video/OpenFace/Segmented/_dI--eQ6qVU_1.txt
_dI--eQ6qVU,2,45.54897959,47.78390023,../datasets/MOSI/processed/Audio/OpenSmile/Segmented/emobase2010/_dI--eQ6qVU_2.arff,../datasets/MOSI/processed/Audio/COVAREP/Segmented/_dI--eQ6qVU_2.mat,../datasets/MOSI/processed/Video/FACET/Full/_dI--eQ6qVU.FACET_out.csv,../datasets/MOSI/processed/Transcript/embeddings/_dI--eQ6qVU_2.csv,../datasets/MOSI/processed/Transcript/phonemes/_dI--eQ6qVU_2.csv,../datasets/MOSI/processed/Transcript/words/_dI--eQ6qVU_2.csv,../datasets/MOSI/processed/Video/OpenFace/Segmented/_dI--eQ6qVU_2.txt
_dI--eQ6qVU,3,47.78390023,59.24784581,../datasets/MOSI/processed/Audio/OpenSmile/Segmented/emobase2010/_dI--eQ6qVU_3.arff,../datasets/MOSI/processed/Audio/COVAREP/Segmented/_dI--eQ6qVU_3.mat,../datasets/MOSI/processed/Video/FACET/Full/_dI--eQ6qVU.FACET_out.csv,../datasets/MOSI/processed/Transcript/embeddings/_dI--eQ6qVU_3.csv,../datasets/MOSI/processed/Transcript/phonemes/_dI--eQ6qVU_3.csv,../datasets/MOSI/processed/Transcript/words/_dI--eQ6qVU_3.csv,../datasets/MOSI/processed/Video/OpenFace/Segmented/_dI--eQ6qVU_3.txt
_dI--eQ6qVU,4,59.24784581,68.27732426,../datasets/MOSI/processed/Audio/OpenSmile/Segmented/emobase2010/_dI--eQ6qVU_4.arff,../datasets/MOSI/processed/Audio/COVAREP/Segmented/_dI--eQ6qVU_4.mat,../datasets/MOSI/processed/Video/FACET/Full/_dI--eQ6qVU.FACET_out.csv,../datasets/MOSI/processed/Transcript/embeddings/_dI--eQ6qVU_4.csv,../datasets/MOSI/processed/Transcript/phonemes/_dI--eQ6qVU_4.csv,../datasets/MOSI/processed/Transcript/words/_dI--eQ6qVU_4.csv,../datasets/MOSI/processed/Video/OpenFace/Segmented/_dI--eQ6qVU_4.txt
_dI--eQ6qVU,5,68.27732426,71.20068027,../datasets/MOSI/processed/Audio/OpenSmile/Segmented/emobase2010/_dI--eQ6qVU_5.arff,../datasets/MOSI/processed/Audio/COVAREP/Segmented/_dI--eQ6qVU_5.mat,../datasets/MOSI/processed/Video/FACET/Full/_dI--eQ6qVU.FACET_out.csv,../datasets/MOSI/processed/Transcript/embeddings/_dI--eQ6qVU_5.csv,../datasets/MOSI/processed/Transcript/phonemes/_dI--eQ6qVU_5.csv,../datasets/MOSI/processed/Transcript/words/_dI--eQ6qVU_5.csv,../datasets/MOSI/processed/Video/OpenFace/Segmented/_dI--eQ6qVU_5.txt
_dI--eQ6qVU,6,71.20068027,72.98662132,../datasets/MOSI/processed/Audio/OpenSmile/Segmented/emobase2010/_dI--eQ6qVU_6.arff,../datasets/MOSI/processed/Audio/COVAREP/Segmented/_dI--eQ6qVU_6.mat,../datasets/MOSI/processed/Video/FACET/Full/_dI--eQ6qVU.FACET_out.csv,../datasets/MOSI/processed/Transcript/embeddings/_dI--eQ6qVU_6.csv,../datasets/MOSI/processed/Transcript/phonemes/_dI--eQ6qVU_6.csv,../datasets/MOSI/processed/Transcript/words/_dI--eQ6qVU_6.csv,../datasets/MOSI/processed/Video/OpenFace/Segmented/_dI--eQ6qVU_6.txt
_dI--eQ6qVU,7,75.40113379,77.5462585,../datasets/MOSI/processed/Audio/OpenSmile/Segmented/emobase2010/_dI--eQ6qVU_7.arff,../datasets/MOSI/processed/Audio/COVAREP/Segmented/_dI--eQ6qVU_7.mat,../datasets/MOSI/processed/Video/FACET/Full/_dI--eQ6qVU.FACET_out.csv,../datasets/MOSI/processed/Transcript/embeddings/_dI--eQ6qVU_7.csv,../datasets/MOSI/processed/Transcript/phonemes/_dI--eQ6qVU_7.csv,../datasets/MOSI/processed/Transcript/words/_dI--eQ6qVU_7.csv,../datasets/MOSI/processed/Video/OpenFace/Segmented/_dI--eQ6qVU_7.txt
_dI--eQ6qVU,8,77.5462585,81.30770975,../datasets/MOSI/processed/Audio/OpenSmile/Segmented/emobase2010/_dI--eQ6qVU_8.arff,../datasets/MOSI/processed/Audio/COVAREP/Segmented/_dI--eQ6qVU_8.mat,../datasets/MOSI/processed/Video/FACET/Full/_dI--eQ6qVU.FACET_out.csv,../datasets/MOSI/processed/Transcript/embeddings/_dI--eQ6qVU_8.csv,../datasets/MOSI/processed/Transcript/phonemes/_dI--eQ6qVU_8.csv,../datasets/MOSI/processed/Transcript/words/_dI--eQ6qVU_8.csv,../datasets/MOSI/processed/Video/OpenFace/Segmented/_dI--eQ6qVU_8.txt
_dI--eQ6qVU,9,85.23877551,87.15442177,../datasets/MOSI/processed/Audio/OpenSmile/Segmented/emobase2010/_dI--eQ6qVU_9.arff,../datasets/MOSI/processed/Audio/COVAREP/Segmented/_dI--eQ6qVU_9.mat,../datasets/MOSI/processed/Video/FACET/Full/_dI--eQ6qVU.FACET_out.csv,../datasets/MOSI/processed/Transcript/embeddings/_dI--eQ6qVU_9.csv,../datasets/MOSI/processed/Transcript/phonemes/_dI--eQ6qVU_9.csv,../datasets/MOSI/processed/Transcript/words/_dI--eQ6qVU_9.csv,../datasets/MOSI/processed/Video/OpenFace/Segmented/_dI--eQ6qVU_9.txt
